name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,proj_own,gpp_score,dnp_risk,matchup
Drake Powell,BKN,SG,3000,11.46,11.31,17.39,5.31,5.2,22.742,0.12,MEM@BKN
Jahmai Mashack,MEM,SG,4000,11.37,11.07,16.96,5.13,9.0,22.044,0.12,MEM@BKN
Nicolas Batum,LAC,PF,3000,11.02,10.99,16.9,5.13,5.1,22.377,0.12,NYK@LAC
Mo Bamba,UTA,C,3300,11.0,11.19,17.21,5.17,6.7,19.278,0.12,GSW@UTA
Cameron Payne,PHI,PG,4500,10.97,11.02,16.83,4.96,11.2,21.733,0.12,PHI@CLE
Branden Carlson,OKC,C,3000,10.57,10.77,16.47,4.93,4.9,22.084,0.12,DEN@OKC
Grant Nelson,BKN,C,3000,10.5,10.47,16.1,4.88,4.8,21.798,0.12,MEM@BKN
Brandon Clarke,MEM,PF,3000,10.5,10.18,15.65,4.76,4.8,21.455,0.12,MEM@BKN
Jabari Walker,PHI,SF,4400,10.43,10.11,15.54,4.73,10.4,20.812,0.12,PHI@CLE
Oscar Tshiebwe,UTA,C,3600,10.06,10.24,15.74,4.74,7.2,18.23,0.12,GSW@UTA
Justin Edwards,PHI,SF,3700,10.09,9.78,15.03,4.57,7.4,20.723,0.12,PHI@CLE
Tyus Jones,DEN,PG,4200,9.71,9.71,14.83,4.4,9.2,20.406,0.12,DEN@OKC
Rayan Rupert,MEM,SF,4000,9.04,8.77,13.48,4.1,8.3,19.45,0.12,MEM@BKN
EJ Harkless,UTA,PG,3900,9.87,8.53,13.11,3.95,4.7,15.806,0.2,GSW@UTA
Ochai Agbaji,BKN,SF,3300,9.75,8.79,13.34,3.86,3.6,19.842,0.2,MEM@BKN
Yanic Konan Niederhauser,LAC,C,3000,9.74,8.25,12.69,3.85,2.6,19.416,0.2,NYK@LAC
Larry Nance Jr.,CLE,PF,3100,9.51,8.31,12.69,3.75,3.1,19.382,0.2,PHI@CLE
Zeke Nnaji,DEN,C,3100,9.67,8.31,12.65,3.73,3.1,19.358,0.2,DEN@OKC
Dalen Terry,PHI,SF,3000,9.35,7.7,11.84,3.6,2.4,18.789,0.2,PHI@CLE
Tyrese Proctor,CLE,PG,3000,8.95,7.75,11.84,3.54,2.4,18.801,0.2,PHI@CLE
Jalen Wilson,BKN,PF,3000,8.81,7.47,11.49,3.48,2.4,18.522,0.2,MEM@BKN
Jeremy Sochan,NYK,SF,3100,8.43,7.27,11.17,3.28,2.9,18.23,0.2,NYK@LAC
