Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
60,5086019759,Modsquad13 (18/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Killian Hayes,,Jamal Murray,PG,3.09%,41.5
60,5086019764,Modsquad13 (19/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Killian Hayes,,Bennedict Mathurin,G,3.07%,31
60,5086019791,Modsquad13 (20/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Killian Hayes,,LaMelo Ball,PG,3.06%,48.5
60,5086027154,BuckmasterHal,0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Jamal Murray,G,3.00%,41.5
60,5086166902,dfwtsx08 (2/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Killian Hayes,,Nique Clifford,G,2.91%,41.5
60,5086176523,mattmoss12 (15/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Nique Clifford,SG,2.73%,41.5
60,5086189132,JayEeDoubleU (1/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Killian Hayes,,Jabari Smith Jr.,PF,2.72%,24.75
60,5086212004,Dotzism (5/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Immanuel Quickley,PG,2.69%,42
60,5086212688,MOTIVE81 (3/4),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Cody Williams,SF,2.67%,22
60,5086232273,bradybradley (1/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Killian Hayes,,Kyle Filipowski,PF,2.67%,33.25
60,5086233184,jgAllDay (2/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Patrick Baldwin Jr.,SF,2.57%,0
60,5086263731,solomex49 (7/20),0,306.5,C Nikola Jokic F Jordan Clarkson G Landry Shamet PF Derrick Jones Jr. PG Darius Garland SF Kawhi Leonard SG Desmond Bane UTIL Ryan Kalkbrenner,,Cody Williams,SG,2.54%,22
60,5086287407,Artrell59 (11/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Amen Thompson,PG,2.51%,29.25
60,5086298016,Bellyball422 (1/2),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Jevon Carter,PG,2.50%,16.5
60,5086298017,Bellyball422 (2/2),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Mitchell Robinson,C,2.46%,28.75
